id,full_name,date,is_holiday,food_1,food_2,food_3,food_4
1,Lynn Smallridge,1/30/2019,true,,,,2
2,Jasun Satchel,9/10/2019,true,3,0,3,7
3,Legra Lammertz,4/25/2019,false,2,,,4
4,Arlen Ivanyukov,8/22/2019,true,4,0,,
5,Cece Tieman,10/7/2019,false,4,2,,6
6,Andrej Gardner,4/22/2019,true,2,3,3,
7,Patrizia Buey,6/28/2019,false,4,3,3,4
8,Kellby Brosini,10/4/2019,true,,,,4
9,Nappy Shine,11/1/2019,true,4,,3,2
10,Demetrius Tunnicliff,11/18/2019,false,,0,0,5
11,Osborn Everson,3/27/2019,true,7,2,2,5
12,Seth Standring,5/12/2019,true,,,0,
13,Tabina Naisey,12/5/2018,true,,0,1,4
14,Andrej Chartman,5/31/2019,false,2,1,4,
15,Daren Rembrant,4/12/2019,true,,,3,
16,Mayne Dulin,7/13/2019,true,4,,4,
17,Gabriellia Mc Carrick,12/2/2018,false,2,1,,
18,Chevy Klimt,12/15/2018,true,4,6,,
19,Pavla Begg,12/26/2018,false,5,2,4,1
20,Darby McCaster,10/3/2019,false,,,4,5
21,Kilian Jans,2/1/2019,true,4,,,6
22,Morey Gerritzen,8/13/2019,false,3,3,1,3
23,Jeramie Mc-Kerley,3/29/2019,true,3,3,,6
24,Sven Doubrava,4/24/2019,false,1,3,,5
25,Timmi Riccioppo,5/12/2019,false,5,,,3
26,Jacobo Janway,9/6/2019,true,9,1,,0
27,Kaylil Stallebrass,4/17/2019,false,5,1,1,3
28,Shandra Scholling,11/1/2019,false,3,2,,5
29,Quill Musico,3/1/2019,false,4,1,2,
30,Stirling Daniels,11/14/2019,true,3,,4,6
31,Trace Danev,3/13/2019,true,,1,3,3
32,Janet Doody,9/15/2019,false,4,2,4,
33,Ben Aikman,3/17/2019,false,4,,5,2
34,Hastings Fochs,4/22/2019,false,2,0,1,3
35,Ibrahim McQuaide,9/7/2019,true,4,,2,1
36,Manon Culwen,11/18/2019,true,3,,4,5
37,Mervin Klassman,9/17/2019,true,4,,7,2
38,Sheridan Bryant,9/18/2019,true,,,3,4
39,Dniren Soans,8/9/2019,true,,2,4,0
40,Aguistin Core,12/13/2018,false,6,0,4,4
41,Adorne Chellam,1/22/2019,true,2,,4,4
42,Dorolisa Maciaszek,3/24/2019,false,,,,7
43,Jaimie Godbolt,2/7/2019,false,5,3,2,9
44,Jamill Pipping,12/7/2018,true,4,,1,5
45,Redford Walhedd,12/10/2018,false,,,4,1
46,Barney Cristofanini,3/2/2019,false,,1,8,6
47,Benjamin D'Oyly,7/17/2019,true,,,3,1
48,Romonda Penke,6/22/2019,true,2,0,3,
49,Winny Jurzyk,4/12/2019,false,3,1,6,3
50,Rowland Hullbrook,7/18/2019,false,4,1,,
51,Codie Randals,12/19/2018,false,6,1,1,4
52,Aeriel Lusty,6/23/2019,false,,1,,2
53,Vonny Cerman,2/19/2019,false,5,,5,
54,Shaylyn Roberson,7/31/2019,true,,,,3
55,Sada Fisby,2/21/2019,false,5,1,5,
56,Joe Piddlehinton,11/23/2019,false,5,0,,3
57,Meredithe Tabert,2/26/2019,false,5,,3,3
58,Leodora Stapleford,6/18/2019,true,5,2,,5
59,Scottie Domleo,6/23/2019,false,2,,1,3
60,Emalia Cressey,3/31/2019,true,,,2,0
61,Jorge Laird,11/13/2019,true,6,2,6,1
62,Wilona Keohane,4/22/2019,false,,,2,5
63,Doe Dudliston,5/9/2019,true,7,2,3,6
64,Josephine Kytley,3/20/2019,false,8,1,3,
65,Ashlen Munnery,6/2/2019,true,3,2,1,5
66,Linzy Ashfield,3/5/2019,false,5,,,3
67,Kipper O'Scully,12/8/2018,false,0,0,,
68,Merlina Nesbeth,5/22/2019,true,4,,1,4
69,Mauricio Noddings,11/5/2019,false,4,2,,3
70,Phil Phebee,11/4/2019,false,5,3,,5
