id,full_name,food_1,food_2,food_3,food_4,date
1,Henrietta Quadrio,,3,2,,11/19/2019
2,Baird Gaddie,,,5,4,11/25/2019
3,Nancee Plascott,6,2,3,,11/25/2019
4,Amberly Partington,4,3,1,,11/25/2019
5,Margareta Cunniam,4,,5,0,11/23/2019
6,L;urette Jereatt,2,5,2,1,11/20/2019
7,Kathlin Cicculini,,4,5,2,11/22/2019
8,Basil Alexandrescu,4,5,4,3,11/19/2019
9,Roderic Forde,6,2,3,1,11/19/2019
10,Tybie Rixon,11,3,1,2,11/21/2019
11,Shaina Micco,,,3,,11/19/2019
12,Frazer Butterfint,6,2,3,5,11/25/2019
13,Margi Cargon,,7,3,2,11/24/2019
14,Henrietta Goldfinch,7,,4,1,11/24/2019
15,Vernon Newlove,,,1,5,11/20/2019
16,Ganny Gilyatt,9,3,5,1,11/24/2019
17,Roscoe Tiron,2,2,4,1,11/19/2019
18,Janessa Berardt,11,4,2,3,11/22/2019
19,Hersh Rainville,5,2,4,1,11/24/2019
20,Halsy Gehrels,4,1,2,,11/21/2019
21,Kippy O'Crowley,5,3,2,1,11/20/2019
22,Gussi MacGaughy,9,5,2,4,11/25/2019
23,Elsey Guirard,4,5,5,,11/22/2019
24,Nancee Werny,8,4,3,1,11/21/2019
25,Haze Teaze,,3,4,2,11/19/2019
26,Mac Sherville,6,0,2,0,11/19/2019
27,Antonius Boak,3,4,,2,11/23/2019
28,Somerset Matousek,5,3,3,2,11/22/2019
29,Jo Hairyes,3,2,,2,11/23/2019
30,Stanleigh Crowson,6,1,1,5,11/22/2019
31,Skye Peepall,5,0,0,0,11/19/2019
32,Thelma Vannar,2,3,2,1,11/22/2019
33,Etta MacKenzie,2,2,7,2,11/20/2019
34,Dewain Scotting,8,1,,2,11/24/2019
35,Sophi Wrigley,,1,2,1,11/22/2019
36,Anni Imison,4,4,4,4,11/21/2019
37,Sander McElhargy,,,0,,11/25/2019
38,Sigismund Ceschini,4,7,3,,11/22/2019
39,Pris Harwell,,3,1,,11/24/2019
40,Woodie Chaytor,5,4,0,1,11/20/2019
41,Atlanta Matus,6,0,5,2,11/20/2019
42,Mitzi Canet,,3,4,1,11/24/2019
43,Corrie Leavold,4,,4,1,11/19/2019
44,Bertrand Chamberlin,4,1,3,4,11/21/2019
45,Andee Szanto,,5,3,1,11/24/2019
46,Johannah Lokier,10,2,3,1,11/23/2019
47,Raviv Flather,,3,1,2,11/24/2019
48,Maryjane Fernihough,6,1,2,1,11/20/2019
49,Edita Fry,4,4,6,,11/23/2019
50,Shannan Simms,2,1,4,1,11/25/2019
51,Norine McNickle,10,0,2,2,11/21/2019
52,Joell Fayer,,6,0,1,11/21/2019
53,Renado Leynton,4,,,3,11/20/2019
54,Cooper McCullen,,,1,3,11/20/2019
55,Eimile Fullager,,2,2,4,11/24/2019
56,Tim Ayliffe,1,4,3,4,11/22/2019
57,Cull Le Provest,5,1,4,2,11/22/2019
58,Tim Orrock,3,3,,2,11/19/2019
59,Oralee Glasgow,,2,1,2,11/25/2019
60,Benita Meneo,5,1,3,,11/24/2019
61,Alexia Gallego,4,,,3,11/24/2019
62,Deeann Redrup,,2,3,3,11/22/2019
63,Linc Heggie,8,,3,2,11/19/2019
64,Sadella Vernall,9,5,3,8,11/21/2019
65,Janette Beaby,6,3,,2,11/20/2019
66,Rosemary Ames,,3,0,,11/20/2019
67,Merline Conley,4,4,3,2,11/22/2019
68,Jo Phoebe,7,,3,,11/20/2019
69,Ryan Backler,5,4,,0,11/23/2019
70,Gilli Borth,7,2,4,3,11/21/2019
71,Donall Jaram,8,3,,0,11/19/2019
72,Raddie Ughelli,8,1,2,,11/24/2019
